id,nama
2,Kabupaten Bangkalan
3,Kabupaten Banyuwangi
4,Kabupaten Blitar
5,Kabupaten Bojonegoro
6,Kabupaten Bondowoso
7,Kabupaten Gresik
8,Kabupaten Jember
9,Kabupaten Jombang
10,Kabupaten Kediri
11,Kabupaten Lamongan
12,Kabupaten Lumajang
13,Kabupaten Madiun
14,Kabupaten Magetan
15,Kabupaten Malang
16,Kabupaten Mojokerto
17,Kabupaten Nganjuk
18,Kabupaten Ngawi
19,Kabupaten Pacitan
20,Kabupaten Pamekasan
21,Kabupaten Pasuruan
22,Kabupaten Ponorogo
23,Kabupaten Probolinggo
24,Kabupaten Sampang
25,Kabupaten Sidoarjo
26,Kabupaten Situbondo
27,Kabupaten Sumenep
28,Kabupaten Trenggalek
29,Kabupaten Tuban
30,Kabupaten Tulungagung
31,Kota Batu
32,Kota Blitar
33,Kota Kediri
34,Kota Madiun
35,Kota Malang
36,Kota Mojokerto
37,Kota Pasuruan
38,Kota Probolinggo
39,Kota Surabaya
